hotel_id,hotel_name,hotel_chain,city,state,country,star_rating,opened_date,status
HOT0001,Skyline Hotels Mumbai Elite,Skyline,Mumbai,Maharashtra,India,3.0,2007-06-18,Closed
HOT0002,Ocean Resorts Chennai Plaza,Ocean,Chennai,Tamil Nadu,India,5.0,2010-07-09,Closed
HOT0003,Skyline Hotels Hyderabad Inn,Skyline,Hyderabad,Telangana,India,3.0,2024-06-19,Open
HOT0004,Ocean Resorts Chennai Inn,Ocean,Chennai,Tamil Nadu,India,5.0,2017-07-17,Open
HOT0005,HotelDawn Hyderabad Grand,HotelDawn,Hyderabad,Telangana,India,4.0,2024-08-29,Renovation
HOT0006,Skyline Hotels Dubai Elite,Skyline,Dubai,Dubai,UAE,5.0,2009-12-26,Open
HOT0007,Skyline Hotels Singapore Residency,Skyline,Singapore,Singapore,Singapore,3.0,2024-09-21,Closed
HOT0008,HotelDawn Bengaluru Plaza,HotelDawn,Bengaluru,Karnataka,India,4.0,2021-06-26,Open
HOT0009,Royal Stay Singapore Plaza,Royal,Singapore,Singapore,Singapore,5.0,2021-10-09,Closed
HOT0010,Royal Stay Mumbai Inn,Royal,Mumbai,Maharashtra,India,3.0,2008-01-04,Renovation
HOT0011,Skyline Hotels Bengaluru Residency,Skyline,Bengaluru,Karnataka,India,5.0,2014-06-18,Open
HOT0012,HotelDawn New York Inn,HotelDawn,New York,New York,United States,5.0,2009-01-26,Closed
HOT0013,Royal Stay Dubai Grand,Royal,Dubai,Dubai,UAE,,2008-04-14,Open
HOT0014,Elite Suites Mumbai Grand,Elite,Mumbai,Maharashtra,India,3.0,2021-06-17,Renovation
HOT0015,HotelDawn Singapore Residency,HotelDawn,Singapore,Singapore,Singapore,5.0,2010-05-07,Open
HOT0016,Royal Stay Mumbai Elite,Royal,Mumbai,Maharashtra,India,5.0,2021-09-28,Closed
HOT0017,Ocean Resorts New York Plaza,Ocean,New York,New York,United States,3.0,2019-05-20,Open
HOT0018,Skyline Hotels Bengaluru Grand,Skyline,Bengaluru,Karnataka,India,3.0,2018-07-03,Open
HOT0019,Skyline Hotels London Residency,Skyline,London,England,United Kingdom,4.0,2020-01-19,Renovation
HOT0020,Royal Stay New York Elite,Royal,New York,New York,United States,5.0,2020-01-12,Closed
HOT0021,Ocean Resorts Bengaluru Plaza,Ocean,Bengaluru,Karnataka,India,5.0,2008-09-27,Closed
HOT0022,Ocean Resorts Sydney Inn,Ocean,Sydney,New South Wales,Australia,4.0,2011-02-08,Open
HOT0023,Ocean Resorts Chennai Inn,Ocean,Chennai,Tamil Nadu,India,5.0,2021-11-24,Renovation
HOT0024,Ocean Resorts New York Inn,Ocean,New York,New York,United States,5.0,2023-04-24,Open
HOT0025,Ocean Resorts Mumbai Residency,Ocean,Mumbai,Maharashtra,India,4.0,2007-02-04,Closed
HOT0026,Royal Stay New York Elite,Royal,New York,New York,United States,5.0,2018-04-30,Open
HOT0027,HotelDawn Delhi Residency,HotelDawn,Delhi,Delhi,India,5.0,2016-03-22,Renovation
HOT0028,Ocean Resorts Sydney Elite,Ocean,Sydney,New South Wales,Australia,5.0,2010-07-20,Renovation
HOT0029,HotelDawn Dubai Residency,HotelDawn,Dubai,Dubai,UAE,5.0,2009-03-28,Renovation
HOT0030,Ocean Resorts Singapore Plaza,Ocean,Singapore,Singapore,Singapore,4.0,2008-06-09,Closed
HOT0031,Royal Stay Delhi Residency,Royal,Delhi,Delhi,India,5.0,2020-01-05,Renovation
HOT0032,HotelDawn Hyderabad Inn,HotelDawn,Hyderabad,Telangana,India,5.0,2020-06-05,Closed
HOT0033,Royal Stay Mumbai Inn,Royal,Mumbai,Maharashtra,India,4.0,2025-06-29,Renovation
HOT0034,HotelDawn Mumbai Grand,HotelDawn,Mumbai,Maharashtra,India,4.0,2014-05-28,Renovation
HOT0035,Elite Suites Dubai Residency,Elite,Dubai,Dubai,UAE,5.0,2023-04-09,Closed
HOT0036,Elite Suites Chennai Plaza,Elite,Chennai,Tamil Nadu,India,4.0,2013-06-06,Closed
HOT0037,Ocean Resorts Mumbai Elite,Ocean,Mumbai,Maharashtra,India,4.0,2007-03-01,Closed
HOT0038,Elite Suites Chennai Grand,Elite,Chennai,Tamil Nadu,India,5.0,2007-01-16,Closed
HOT0039,Elite Suites Mumbai Grand,Elite,Mumbai,Maharashtra,India,4.0,2008-11-22,Open
HOT0040,Skyline Hotels London Inn,Skyline,London,England,United Kingdom,4.0,2009-11-01,Renovation
HOT0041,Royal Stay Delhi Inn,Royal,Delhi,Delhi,India,5.0,2010-12-17,Closed
HOT0042,Elite Suites Sydney Elite,Elite,Sydney,New South Wales,Australia,4.0,2009-10-14,Renovation
HOT0043,Elite Suites Sydney Grand,Elite,Sydney,New South Wales,Australia,5.0,2017-02-26,Open
HOT0044,Elite Suites London Residency,Elite,London,England,United Kingdom,3.0,2022-01-29,Renovation
HOT0045,Royal Stay Hyderabad Elite,Royal,Hyderabad,Telangana,India,,2024-09-18,Renovation
HOT0046,Ocean Resorts Chennai Grand,Ocean,Chennai,Tamil Nadu,India,3.0,2008-06-28,Open
HOT0047,Royal Stay Bengaluru Elite,Royal,Bengaluru,Karnataka,India,5.0,2022-09-23,Renovation
HOT0048,HotelDawn Mumbai Residency,HotelDawn,Mumbai,Maharashtra,India,4.0,2021-04-04,Open
HOT0049,Royal Stay Sydney Plaza,Royal,Sydney,New South Wales,Australia,4.0,2022-04-16,Open
HOT0050,Royal Stay London Grand,Royal,London,England,United Kingdom,3.0,2017-03-26,Closed
HOT0051,HotelDawn London Inn,HotelDawn,London,England,United Kingdom,3.0,2019-12-31,Open
HOT0052,HotelDawn Chennai Elite,HotelDawn,Chennai,Tamil Nadu,India,3.0,2017-10-13,Renovation
HOT0053,Ocean Resorts Delhi Elite,Ocean,Delhi,Delhi,India,4.0,2006-12-23,Open
