room_id,hotel_id,room_number,room_type,capacity,base_price,floor,availability
ROOM000001,HOT0074,132,Deluxe,1,15000,10,Available
ROOM000002,HOT0064,621,Presidential,3,2500,5,Available
ROOM000003,HOT0209,556,Suite,6,5000,8,Available
ROOM000004,HOT0016,306,Deluxe,1,10000,1,Maintenance
ROOM000005,HOT0145,196,Suite,5,15000,14,Available
ROOM000006,HOT0138,451,Deluxe,1,7000,1,Occupied
ROOM000007,HOT0102,921,Deluxe,2,2500,6,Maintenance
ROOM000008,HOT0170,830,Standard,6,15000,7,Occupied
ROOM000009,HOT0123,362,Presidential,2,5000,13,Maintenance
ROOM000010,HOT0129,395,Family,3,2500,13,Maintenance
ROOM000011,HOT0121,463,Standard,4,15000,8,Available
ROOM000012,HOT0195,703,Suite,5,5000,5,Maintenance
ROOM000013,HOT0122,685,Executive,1,5000,14,Maintenance
ROOM000014,HOT0028,194,Executive,3,3500,12,Maintenance
ROOM000015,HOT0220,700,Suite,1,15000,14,Available
ROOM000016,HOT0054,753,Presidential,5,3500,15,Available
ROOM000017,HOT0020,949,Suite,1,2500,12,Available
ROOM000018,HOT0035,583,Deluxe,1,-10000,15,Available
ROOM000019,HOT0230,231,Presidential,6,10000,9,Available
ROOM000020,HOT0114,148,Executive,6,10000,15,Maintenance
ROOM000021,HOT0179,604,Family,1,15000,8,Available
ROOM000022,HOT0189,435,Family,4,15000,13,Occupied
ROOM000023,HOT0034,713,Executive,4,10000,7,Maintenance
ROOM000024,HOT0135,890,Standard,4,10000,4,Maintenance
ROOM000025,HOT0188,460,Standard,3,7000,15,Occupied
ROOM000026,HOT0198,133,Deluxe,3,3500,9,Maintenance
ROOM000027,HOT0109,400,Family,5,10000,10,Maintenance
ROOM000028,HOT0202,610,,4,7000,4,Maintenance
ROOM000029,HOT0206,752,Executive,5,10000,11,Maintenance
ROOM000030,HOT0102,438,Family,1,2500,3,Available
ROOM000031,HOT0088,168,Presidential,2,7000,3,Available
ROOM000032,HOT0072,231,Family,4,7000,8,Available
ROOM000033,HOT0050,920,Family,3,7000,12,Occupied
ROOM000034,HOT0024,499,Standard,3,10000,4,Maintenance
ROOM000035,HOT0175,878,Standard,4,3500,1,Maintenance
ROOM000036,HOT0081,233,Standard,2,3500,10,Available
ROOM000037,HOT0023,364,Deluxe,5,15000,11,Available
ROOM000038,HOT0190,188,Deluxe,4,15000,7,Maintenance
ROOM000039,HOT0131,656,Family,5,3500,15,Occupied
ROOM000040,HOT0008,129,Family,4,15000,6,Available
ROOM000041,HOT0229,220,Family,2,5000,4,Available
ROOM000042,HOT0040,766,Standard,5,10000,10,Maintenance
ROOM000043,HOT0212,878,Deluxe,5,5000,11,Maintenance
ROOM000044,HOT0236,657,,3,3500,7,Maintenance
ROOM000045,HOT0240,452,Executive,4,7000,9,Maintenance
ROOM000046,HOT0047,362,Family,1,10000,1,Available
ROOM000047,HOT0180,362,Standard,4,7000,10,Occupied
ROOM000048,HOT0129,629,,3,7000,15,Available
ROOM000049,HOT0231,866,Deluxe,5,3500,1,Available
ROOM000050,HOT0243,733,Family,1,2500,13,Maintenance
ROOM000051,HOT0027,682,Standard,4,15000,3,Occupied
ROOM000052,HOT0183,114,Standard,4,7000,12,Maintenance
ROOM000053,HOT0240,825,Suite,5,2500,2,Occupied
ROOM000054,HOT0103,455,Family,5,5000,15,Occupied
ROOM000055,HOT0243,883,Executive,4,7000,11,Maintenance
ROOM000056,HOT0068,335,Deluxe,4,2500,10,Occupied
ROOM000057,HOT0017,544,Suite,6,5000,9,Available
ROOM000058,HOT0047,391,Presidential,5,5000,8,Occupied
ROOM000059,HOT0022,910,Deluxe,2,15000,8,Occupied
ROOM000060,HOT0179,509,Presidential,5,-3500,1,Occupied
ROOM000061,HOT0245,520,Deluxe,3,3500,4,Available
ROOM000062,HOT0153,702,Executive,2,3500,15,Available
ROOM000063,HOT0181,374,Suite,6,2500,8,Available
ROOM000064,HOT0189,758,Executive,4,2500,6,Maintenance
ROOM000065,HOT0070,277,Executive,5,7000,8,Occupied
ROOM000066,HOT0096,349,,3,10000,12,Occupied
ROOM000067,HOT0208,889,Deluxe,2,15000,6,Maintenance
ROOM000068,HOT0241,738,Deluxe,3,15000,1,Available
ROOM000069,HOT0047,430,Standard,3,15000,15,Maintenance
ROOM000070,HOT0143,538,Suite,4,3500,8,Maintenance
ROOM000071,HOT0059,569,Standard,4,5000,12,Available
ROOM000072,HOT0246,290,Family,6,15000,3,Occupied
ROOM000073,HOT0016,947,Deluxe,2,10000,15,Occupied
ROOM000074,HOT0026,933,Deluxe,6,5000,7,Occupied
ROOM000075,HOT0182,459,Family,1,3500,5,Available
ROOM000076,HOT0029,349,Standard,3,10000,2,Occupied
ROOM000077,HOT0027,271,Presidential,4,-2500,4,Available
ROOM000078,HOT0119,809,Standard,6,2500,2,Maintenance
ROOM000079,HOT0023,377,Deluxe,4,10000,9,Maintenance
ROOM000080,HOT0227,716,Deluxe,5,10000,7,Available
ROOM000081,HOT0205,261,Standard,6,3500,13,Maintenance
ROOM000082,HOT0093,401,Deluxe,3,2500,5,Maintenance
ROOM000083,HOT0030,365,Family,2,10000,6,Available
