payment_id,booking_id,payment_date,payment_method,gateway,currency,payment_amount,payment_status,refund_amount,transaction_reference
PAY000001,BOOK000001,2025-08-03,Debit Card,PhonePe,AED,14160.0,Paid,0.0,76606b10-1d2f-4a29-ac64-9e068c584706
PAY000002,BOOK000002,2026-05-01,Debit Card,PhonePe,AED,16815.0,Paid,0.0,65ad80c1-9050-4fb9-b774-6123dc506555
PAY000003,BOOK000003,2025-04-15,Debit Card,PayPal,INR,15694.0,Paid,0.0,94c78a2d-bff1-4a40-a419-ae6558c0943c
PAY000004,BOOK000004,2026-04-01,UPI,Stripe,AED,28320.0,Paid,0.0,7a629ba1-5a3b-4d03-948b-d9823776d294
PAY000005,BOOK000005,2025-11-08,Debit Card,Stripe,GBP,35400.0,Paid,0.0,bad73104-fa8d-4905-8799-9cdaf388fee9
PAY000006,BOOK000006,2025-05-04,UPI,PayPal,SGD,4720.0,Paid,0.0,2886c4a4-293b-48c5-9b89-730e647d732d
PAY000007,BOOK000007,2025-12-27,Wallet,PayPal,,5015.0,Paid,0.0,80c32361-c0d6-42d7-a9e9-4ef3ebde7327
PAY000008,BOOK000008,2026-03-30,Debit Card,PayPal,EUR,11210.0,Refunded,6388.07,13b60b0f-1ef8-4baa-b31b-c75c78945447
PAY000009,BOOK000009,2024-08-03,Cash,Stripe,SGD,84960.0,Failed,0.0,e4996ac9-9ab9-43f4-8d28-a40b5f062946
PAY000010,BOOK000010,2025-08-05,Cash,PayPal,AED,9440.0,Paid,0.0,f6892c7c-7795-4c00-aaf8-6acb69e119e3
PAY000011,BOOK000011,2025-05-11,Net Banking,PhonePe,INR,10030.0,Paid,0.0,cbe64cc4-c7c9-48fd-abd9-eab60ed04df9
PAY000012,BOOK000012,2024-10-10,UPI,PhonePe,INR,79650.0,Paid,0.0,e6fbc79d-1c62-41ae-affd-eb56df96610e
PAY000013,BOOK000013,2025-02-07,Cash,Cash,GBP,25075.0,Paid,0.0,dab44614-205d-40db-a6e2-3009fdd65f41
PAY000014,BOOK000014,2025-03-30,Credit Card,PhonePe,INR,5900.0,Paid,0.0,eb8bfaf1-4f64-4008-a578-32332ccdeb0a
PAY000015,BOOK000015,2025-10-26,UPI,Stripe,EUR,13216.0,Paid,0.0,92750275-a8c6-40d6-a11d-2c2005ec1a3f
PAY000016,BOOK000016,2025-09-25,Cash,Cash,AED,10620.0,Paid,0.0,df731977-7337-428b-aa3b-e8d9bcc56d45
PAY000017,BOOK000017,2026-07-14,Debit Card,Razorpay,SGD,23128.0,Paid,0.0,fbd1846a-a3db-4a1f-bf78-3b37af7469df
PAY000018,BOOK000018,2026-05-21,Credit Card,PayPal,AED,7434.0,Paid,0.0,36bb7f2e-2070-4d21-895b-3fbb6a16ebb2
PAY000019,BOOK000019,2026-01-12,Wallet,PayPal,AED,3304.0,Paid,0.0,51fcbe74-ef16-459f-a063-cca659c24ea3
PAY000020,BOOK000020,2025-02-19,Credit Card,Cash,INR,23128.0,Paid,0.0,a7770c37-945e-4aef-99dc-59dfa7a5b3bc
PAY000021,BOOK000021,2025-11-25,Credit Card,Cash,SGD,3510.5,Paid,0.0,1b3a35ae-6073-4e8d-9371-5971fceb0ef4
PAY000022,BOOK000022,2024-08-13,Wallet,Stripe,USD,50445.0,Paid,0.0,0d76523a-eec7-4847-9bb0-aa4b4ee355eb
