review_id,booking_id,customer_id,hotel_id,rating,review_title,review_text,review_date,sentiment
REV000001,BOOK003525,CUST001460,HOT0200,3,Value for Money,Staff were friendly and helpful.,2025-03-11,Neutral
REV000002,BOOK003031,CUST001765,HOT0090,3,Value for Money,Room was clean and comfortable.,2025-04-01,Neutral
REV000003,BOOK002180,CUST003789,HOT0172,3,Excellent Stay,Bathroom needs improvement.,2024-11-02,Neutral
REV000004,BOOK000309,CUST004942,HOT0059,5,Poor Service,Great location and ambience.,2025-02-28,Positive
REV000005,BOOK002608,CUST000255,HOT0187,5,Excellent Stay,Bathroom needs improvement.,2025-04-23,Positive
REV000006,BOOK004159,CUST002561,HOT0219,3,Highly Recommended,Check-in process was smooth.,2025-05-06,Neutral
REV000007,BOOK003120,CUST003357,HOT0136,1,Value for Money,Bathroom needs improvement.,2024-11-11,Negative
REV000008,BOOK001817,CUST002904,HOT0080,3,Excellent Stay,Food quality was excellent.,2026-08-21,Neutral
REV000009,BOOK000896,CUST002984,HOT0139,3,Highly Recommended,Check-in process was smooth.,2024-09-05,Neutral
REV000010,BOOK001577,CUST002664,HOT0144,2,Very Good,Will definitely visit again.,2026-06-28,Negative
REV000011,BOOK004582,CUST004433,HOT0081,2,Average Experience,Bathroom needs improvement.,2026-07-31,Negative
REV000012,BOOK001745,CUST001204,HOT0144,3,Amazing Hospitality,Check-in process was smooth.,2026-08-07,Neutral
REV000013,BOOK003117,CUST002781,HOT0247,4,Very Good,Food quality was excellent.,2024-12-21,Positive
REV000014,BOOK001880,CUST002475,HOT0222,2,Excellent Stay,Check-in process was smooth.,2025-07-17,Negative
REV000015,BOOK002576,CUST002591,HOT0042,5,Highly Recommended,Will definitely visit again.,2025-07-11,Positive
REV000016,BOOK001091,CUST000629,HOT0225,5,Needs Improvement,Food quality was excellent.,2025-05-22,Positive
REV000017,BOOK004463,CUST001100,HOT0192,3,Poor Service,Staff were friendly and helpful.,2026-07-12,Neutral
REV000018,BOOK004186,CUST001778,HOT0099,5,Average Experience,Bathroom needs improvement.,2024-12-02,Positive
REV000019,BOOK002784,CUST003436,HOT0126,4,Value for Money,Will definitely visit again.,2026-04-14,Positive
REV000020,BOOK003673,CUST002077,HOT0031,1,Value for Money,,2026-02-01,Negative
REV000021,BOOK004238,CUST001866,HOT0225,3,Excellent Stay,Room was clean and comfortable.,2026-07-31,Neutral
REV000022,BOOK000058,CUST000729,HOT0242,5,Needs Improvement,Will definitely visit again.,2025-04-29,Positive
REV000023,BOOK003113,CUST002814,HOT0019,4,Poor Service,Bathroom needs improvement.,2026-02-16,Positive
REV000024,BOOK002358,CUST003082,HOT0039,2,Poor Service,Room was clean and comfortable.,2024-11-01,Negative
REV000025,BOOK002891,CUST000161,HOT0224,3,Value for Money,Bathroom needs improvement.,2025-10-16,Neutral
REV000026,BOOK000992,CUST003626,HOT0120,5,Poor Service,Room was clean and comfortable.,2026-05-31,Positive
REV000027,BOOK002070,CUST000386,HOT0012,2,Highly Recommended,Check-in process was smooth.,2025-12-23,Negative
REV000028,BOOK002241,CUST002281,HOT0069,4,Amazing Hospitality,Check-in process was smooth.,2025-10-26,Positive
REV000029,BOOK004772,CUST002329,HOT0113,5,Needs Improvement,Great location and ambience.,2025-01-27,Positive
REV000030,BOOK000317,CUST003001,HOT0012,4,Excellent Stay,Room was clean and comfortable.,2026-07-09,Positive
REV000031,BOOK001360,CUST003399,HOT0082,2,Average Experience,Food quality was excellent.,2025-11-28,Negative
REV000032,BOOK004189,CUST003616,HOT0176,4,Value for Money,Check-in process was smooth.,2024-12-02,Positive
REV000033,BOOK004209,CUST000736,HOT0235,1,Value for Money,Food quality was excellent.,2026-04-08,Negative
REV000034,BOOK003889,CUST001425,HOT0038,2,Needs Improvement,Food quality was excellent.,2025-05-15,Negative
REV000035,BOOK003287,CUST001994,HOT0171,2,Average Experience,Food quality was excellent.,2026-05-03,Negative
REV000036,BOOK003678,CUST002680,HOT0146,3,Poor Service,Great location and ambience.,2025-12-28,Neutral
REV000037,BOOK003631,CUST003405,HOT0134,3,Needs Improvement,Bathroom needs improvement.,2026-06-22,Neutral
REV000038,BOOK002324,CUST004269,HOT0187,5,Excellent Stay,Check-in process was smooth.,2026-05-21,Positive
REV000039,BOOK004718,CUST003841,HOT0017,2,Highly Recommended,Overall satisfied with the stay.,2026-05-09,Negative
REV000040,BOOK003617,CUST004152,HOT0103,4,Needs Improvement,Food quality was excellent.,2025-05-03,Positive
REV000041,BOOK001162,CUST004469,HOT0137,2,Highly Recommended,Will definitely visit again.,2026-03-22,Negative
REV000042,BOOK000775,CUST003057,HOT0210,1,Poor Service,Food quality was excellent.,2026-05-07,Negative
REV000043,BOOK004111,CUST000628,HOT0018,1,Highly Recommended,Overall satisfied with the stay.,2025-02-18,Negative
REV000044,BOOK001227,CUST000234,HOT0237,4,Needs Improvement,Will definitely visit again.,2025-05-08,Positive
REV000045,BOOK000808,CUST002800,HOT0201,4,Highly Recommended,Overall satisfied with the stay.,2025-12-08,Positive
REV000046,BOOK001771,CUST002763,HOT0152,3,Needs Improvement,Check-in process was smooth.,2026-02-15,Neutral
REV000047,BOOK000546,CUST002362,HOT0021,2,Highly Recommended,Food quality was excellent.,2024-11-09,Negative
