promotion_id,promo_code,campaign_name,discount_percentage,start_date,end_date,status
PROMO00001,HVBIIZ61,Weekend Offer,20,2026-10-01,2028-03-09,Expired
PROMO00002,HVSAYN80,Weekend Offer,20,2025-08-18,2028-07-08,Expired
PROMO00003,HVRJRQ63,Corporate Deal,25,2026-08-15,2028-02-28,Upcoming
PROMO00004,HVPKET86,Festive Offer,10,2025-03-19,2027-08-22,Active
PROMO00005,HVSKYQ33,Festive Offer,40,2027-02-03,2028-06-14,Upcoming
PROMO00006,HVAYSH23,Summer Sale,20,2027-04-25,2028-05-02,Active
PROMO00007,HVDSQN24,Festive Offer,40,2027-03-26,2027-11-24,Expired
PROMO00008,HVQNKA13,Weekend Offer,5,2026-01-09,2027-07-28,Active
PROMO00009,HVPLDT98,Corporate Deal,15,2025-11-23,2028-02-12,Expired
PROMO00010,HVFCEB73,Summer Sale,5,2026-01-26,2028-01-30,Upcoming
PROMO00011,HVGLCR72,Corporate Deal,15,2025-07-11,2028-03-11,Expired
PROMO00012,HVCTTN82,Corporate Deal,25,2025-09-17,2028-05-08,Expired
PROMO00013,HVJBCL74,Festive Offer,40,2025-05-16,2028-06-05,Active
PROMO00014,HVRUAE66,Corporate Deal,30,2025-04-02,2028-05-19,Active
PROMO00015,HVWAAG42,Weekend Offer,40,2026-12-06,2027-08-09,Upcoming
PROMO00016,HVVJOR34,Summer Sale,5,2026-11-25,2027-12-17,Expired
PROMO00017,HVEAWF07,New Year Sale,25,2025-08-06,2028-06-10,Upcoming
PROMO00018,HVHHPP89,Festive Offer,25,2026-10-15,2027-11-24,Expired
PROMO00019,HVOBMH24,Festive Offer,25,2026-04-28,2027-10-27,Expired
PROMO00020,HVEXGL94,Summer Sale,40,2025-11-26,2027-10-07,Active
PROMO00021,HVMTTD65,Family Package,40,2027-05-01,2027-09-08,Expired
PROMO00022,HVHGFF95,Weekend Offer,20,2024-09-28,2027-12-04,Active
PROMO00023,HVANJP60,Corporate Deal,25,2026-10-18,2027-12-22,Expired
PROMO00024,HVGSAE81,Festive Offer,25,2024-11-25,2028-01-21,Upcoming
PROMO00025,HVDXYF19,Summer Sale,20,2026-07-22,2027-09-09,Expired
PROMO00026,HVHAZP14,New Year Sale,5,2026-11-13,2027-09-24,Upcoming
PROMO00027,HVWMHQ34,Weekend Offer,5,2025-06-10,2027-08-27,Active
PROMO00028,HVXGYL73,Corporate Deal,40,2026-09-10,2027-10-20,Upcoming
PROMO00029,HVXRRC12,Festive Offer,10,2024-10-06,2027-08-13,Upcoming
PROMO00030,HVRVNP43,New Year Sale,5,2024-09-24,2028-04-16,Active
PROMO00031,HVCRDW97,Festive Offer,40,2026-08-31,2027-10-25,Upcoming
