service_id,booking_id,hotel_id,employee_id,service_name,service_date,quantity,unit_price,total_price
SER000001,BOOK002299,HOT0111,EMP00127,Airport Pickup,2026-06-01,4,1500,6000
SER000002,BOOK004541,HOT0169,EMP00039,Mini Bar,2025-02-14,1,2000,2000
SER000003,BOOK002340,HOT0143,EMP00323,Dinner,2025-04-28,4,2000,8000
SER000004,BOOK001788,HOT0088,EMP00719,Gym,2025-07-21,4,250,1000
SER000005,BOOK000949,HOT0131,EMP00451,Airport Pickup,2025-06-19,3,1500,4500
SER000006,BOOK002030,HOT0229,EMP00501,Gym,2025-07-24,4,1000,4000
SER000007,BOOK004239,HOT0090,EMP00622,Mini Bar,2025-06-16,2,250,500
SER000008,BOOK000992,HOT0120,EMP00066,Room Cleaning,2026-05-28,2,250,500
SER000009,BOOK003125,HOT0165,EMP00771,Dinner,2026-02-24,3,1500,4500
SER000010,BOOK001401,HOT0201,EMP00270,Lunch,2025-02-21,2,2000,4000
SER000011,BOOK000175,HOT0039,EMP00321,Breakfast,2025-09-08,2,1000,2000
SER000012,BOOK001838,HOT0172,EMP00543,Breakfast,2026-06-17,1,1500,1500
SER000013,BOOK004406,HOT0059,EMP00367,Gym,2025-12-28,4,500,2000
SER000014,BOOK002373,HOT0011,EMP00722,Spa,2025-11-29,4,1000,4000
SER000015,BOOK002653,HOT0180,EMP00748,Mini Bar,2024-12-13,3,500,1500
SER000016,BOOK002274,HOT0018,EMP00657,Gym,2025-09-05,3,2000,6000
SER000017,BOOK004000,HOT0062,EMP00768,Swimming Pool,2026-03-30,1,500,500
SER000018,BOOK002212,HOT0077,EMP00744,Room Cleaning,2025-10-20,4,250,1000
SER000019,BOOK002994,HOT0120,EMP00061,Dinner,2025-11-15,3,250,750
SER000020,BOOK001790,HOT0196,EMP00015,Room Cleaning,2025-02-19,2,250,500
SER000021,BOOK000548,HOT0091,EMP00037,Laundry,2025-12-12,1,500,500
SER000022,BOOK004775,HOT0219,EMP00005,Gym,2025-11-06,3,2000,6000
SER000023,BOOK002613,HOT0176,EMP00772,Lunch,2026-06-06,3,1500,4500
SER000024,BOOK000652,HOT0084,EMP00078,Lunch,2024-10-05,3,750,2250
SER000025,BOOK001594,HOT0045,EMP00464,Breakfast,2024-11-22,2,1000,2000
SER000026,BOOK001140,HOT0222,EMP00560,Dinner,2025-04-28,4,1500,6000
SER000027,BOOK004792,HOT0145,EMP00179,Lunch,2025-11-07,4,500,2000
SER000028,BOOK000379,HOT0245,EMP00331,Dinner,2026-02-08,2,250,500
SER000029,BOOK000258,HOT0204,EMP00013,Spa,2026-05-25,1,250,250
SER000030,BOOK002371,HOT0221,EMP00716,Spa,2026-04-18,4,1500,6000
SER000031,BOOK004812,HOT0093,EMP00324,Breakfast,2025-05-15,3,750,2250
SER000032,BOOK001749,HOT0184,EMP00489,Mini Bar,2024-11-16,3,250,750
SER000033,BOOK003794,HOT0163,EMP00722,Mini Bar,2024-11-15,3,750,2250
SER000034,BOOK000725,HOT0189,EMP00672,Room Cleaning,2024-12-14,1,1500,1500
SER000035,BOOK003231,HOT0079,EMP00683,Breakfast,2026-04-30,2,250,500
SER000036,BOOK003706,HOT0029,EMP00055,Mini Bar,2025-06-05,1,2000,2000
SER000037,BOOK003976,HOT0167,EMP00405,Dinner,2025-07-30,2,750,1500
SER000038,BOOK000876,HOT0085,EMP00277,Breakfast,2025-02-07,2,500,1000
